sxn,txndate,ranking,doughnut,plainbrownie,moltenlava,chickenbread,chickenpatties,pastry,cardamomtea,coffee,chickenpizzal,cheesepizzal,zingerburger,chickenburger,chickenpiece,chickenparatharoll,frenchfries,pizzam,pizzas,shawarma
0,3/25/23,O,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1
1,3/25/23,S,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
2,3/25/23,H,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
3,3/25/23,Se,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3/25/23,S,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
5,3/25/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,3/25/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3/25/23,H,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8,3/25/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3/25/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3/25/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3/25/23,Se,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3/25/23,S,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
13,3/25/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3/25/23,O,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1
15,3/25/23,H,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,3/25/23,H,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3/25/23,O,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
18,3/25/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,3/25/23,S,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
20,3/25/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,3/25/23,O,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
22,3/25/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3/25/23,O,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
24,3/25/23,H,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,3/25/23,S,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
26,3/25/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,3/25/23,O,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
28,3/25/23,S,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
29,3/25/23,S,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
30,3/25/23,S,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
31,3/25/23,H,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,3/25/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,3/25/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3/25/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3/25/23,S,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36,3/25/23,O,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
37,3/25/23,S,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
38,3/25/23,S,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
39,3/25/23,O,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
40,3/26/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3/26/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3/26/23,H,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
43,3/26/23,Se,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,3/26/23,O,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1
45,3/26/23,S,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0
46,3/26/23,Se,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,3/26/23,O,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
48,3/26/23,O,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
49,3/26/23,Se,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,3/26/23,Se,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
51,3/26/23,H,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,3/26/23,O,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
53,3/26/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,3/26/23,Se,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
55,3/26/23,O,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,3/26/23,Se,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,3/26/23,O,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
58,3/26/23,Se,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,3/26/23,H,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,3/26/23,S,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
61,3/26/23,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,3/26/23,H,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
63,3/26/23,S,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
64,3/26/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
